COUNTRY,SEX,YEAR,VALUE
"AND","MALE","2010","2098.03"
"AND","ALL","2011","1708.62"
"AND","FEMALE","2011","1304.67"
"AND","MALE","2011","2095.85"
"AND","ALL","2012","1709.25"
"AND","FEMALE","2012","1305.56"
"AND","MALE","2012","2097.92"
"AND","ALL","2013","1709.59"
"AND","FEMALE","2013","1307.66"
"AND","MALE","2013","2097.67"
"AND","ALL","2014","1711.72"
"AND","FEMALE","2014","1310.14"
"AND","MALE","2014","2098.83"
"AND","ALL","2015","1711.60"
"AND","FEMALE","2015","1310.47"
"AND","MALE","2015","2097.52"
"AND","ALL","2016","1710.46"
"AND","FEMALE","2016","1311.43"
"AND","MALE","2016","2093.07"
"AND","ALL","2017","1710.39"
"AND","FEMALE","2017","1312.81"
"AND","MALE","2017","2090.12"
"AND","ALL","2018","1707.85"
"AND","FEMALE","2018","1308.52"
"AND","MALE","2018","2087.84"
"AND","ALL","2019","1704.71"
"AND","FEMALE","2019","1300.13"
"AND","MALE","2019","2088.38"
"ARM","ALL","1990","2481.96"
"ARM","FEMALE","1990","2082.03"
"ARM","MALE","1990","2898.05"
"ARM","ALL","1991","2548.41"
"ARM","FEMALE","1991","2140.44"
"ARM","MALE","1991","2973.82"
"ARM","ALL","1992","2609.04"
"ARM","FEMALE","1992","2193.54"
"ARM","MALE","1992","3043.57"
"ARM","ALL","1993","2662.00"
"ARM","FEMALE","1993","2240.14"
"ARM","MALE","1993","3104.73"
"ARM","ALL","1994","2703.99"
"ARM","FEMALE","1994","2278.10"
"ARM","MALE","1994","3152.81"
"ARM","ALL","1995","2731.39"
"ARM","FEMALE","1995","2304.53"
"ARM","MALE","1995","3183.13"
"ARM","ALL","1996","2752.00"
"ARM","FEMALE","1996","2324.25"
"ARM","MALE","1996","3206.45"
"ARM","ALL","1997","2771.88"
"ARM","FEMALE","1997","2341.18"
"ARM","MALE","1997","3231.06"
"ARM","ALL","1998","2788.55"
"ARM","FEMALE","1998","2354.51"
"ARM","MALE","1998","3252.74"
"ARM","ALL","1999","2799.04"
"ARM","FEMALE","1999","2363.41"
"ARM","MALE","1999","3266.28"
"ARM","ALL","2000","2799.21"
"ARM","FEMALE","2000","2365.43"
"ARM","MALE","2000","3265.72"
"ARM","ALL","2001","2780.73"
"ARM","FEMALE","2001","2353.32"
"ARM","MALE","2001","3241.49"
"ARM","ALL","2002","2741.92"
"ARM","FEMALE","2002","2324.21"
"ARM","MALE","2002","3193.06"
"ARM","ALL","2003","2692.25"
"ARM","FEMALE","2003","2285.91"
"ARM","MALE","2003","3131.73"
"ARM","ALL","2004","2639.39"
"ARM","FEMALE","2004","2244.85"
"ARM","MALE","2004","3066.50"
"ARM","ALL","2005","2590.80"
"ARM","FEMALE","2005","2207.02"
"ARM","MALE","2005","3006.48"
"ARM","ALL","2006","2536.06"
"ARM","FEMALE","2006","2159.34"
"ARM","MALE","2006","2944.22"
"ARM","ALL","2007","2467.02"
"ARM","FEMALE","2007","2093.51"
"ARM","MALE","2007","2871.72"
"ARM","ALL","2008","2397.08"
"ARM","FEMALE","2008","2024.87"
"ARM","MALE","2008","2800.31"
"ARM","ALL","2009","2338.11"
"ARM","FEMALE","2009","1967.55"
"ARM","MALE","2009","2739.44"
"ARM","ALL","2010","2301.65"
"ARM","FEMALE","2010","1935.01"
"ARM","MALE","2010","2698.52"
"ARM","ALL","2011","2285.27"
"ARM","FEMALE","2011","1923.96"
"ARM","MALE","2011","2676.10"
"ARM","ALL","2012","2275.29"
"ARM","FEMALE","2012","1918.80"
"ARM","MALE","2012","2660.58"
"ARM","ALL","2013","2269.37"
"ARM","FEMALE","2013","1917.17"
"ARM","MALE","2013","2649.58"
"ARM","ALL","2014","2263.90"
"ARM","FEMALE","2014","1915.49"
"ARM","MALE","2014","2639.55"
